url,headline,date
https: thehill.com policy international 4257104-desantis-says-israeli-counteroffensive-in-gaza-is-not-collective-punishment-for-palestinians ,   DeSantis says Israeli counteroffensive in Gaza is ‘not collective punishment’ for Palestinians  ,2023-10-15
https: thehill.com policy international 4259459-senate-intel-chair-hamas-cold-blooded-murderers-whove-terrorized-israelis-palestinians ,"   Senate Intel chair: Hamas ‘cold-blooded murderers’ who’ve ‘terrorized’ Israelis, Palestinians  ",2023-10-16
https: thehill.com homenews 4258749-bbc-apologizes-palestine-hamas ,   BBC apologizes for saying pro-Palestine demonstrators were ‘backing’ Hamas  ,2023-10-16
https: thehill.com homenews senate 4261610-sanders-bombing-palestinian-hospital-crime ,   Sanders: Bombing of Palestinian hospital an ‘unspeakable crime’  ,2023-10-17
https: thehill.com opinion campaign 4260501-no-palestinians-are-not-all-antisemitic-has-ron-desantis-ever-even-met-a-gazan ,"   No, Palestinians are not ‘all antisemitic’ — has Ron DeSantis ever even met a Gazan?    ",2023-10-17
https: thehill.com opinion international 4258570-palestinians-deserve-a-state-despite-hamas-not-because-of-it ,"   Palestinians deserve a state despite Hamas, not because of it  ",2023-10-17
https: thehill.com policy international 4259879-jordan-egypt-unwilling-to-take-palestinian-refugees ,"   Jordan, Egypt unwilling to take Palestinian refugees, king says  ",2023-10-17
https: thehill.com homenews campaign 4259094-2024-donald-trump-ron-desantis-nikki-haley-israel-palestinians-hamas ,   Divisions emerge between 2024 Republicans over Israeli-Palestinian conflict  ,2023-10-17
https: thehill.com policy international 4262152-egypt-rejects-palestinian-refugees-sinai-peninsula ,   Egypt president rejects effort to move Palestinians to Sinai Peninsula  ,2023-10-18
https: thehill.com homenews administration 4266196-bidens-speak-with-family-of-palestinian-american-boy-killed-in-hate-crime ,   Bidens speak with family of Palestinian-American boy killed in hate crime  ,2023-10-19
https: thehill.com policy international 4266108-biden-warns-hamas-against-blocking-aid-deliveries-to-palestinian-civilians ,   Biden warns Hamas against blocking aid deliveries to Palestinian civilians  ,2023-10-19
https: thehill.com opinion international 4263231-hamas-might-have-killed-any-chance-for-palestinian-peace ,   Hamas might have killed any chance for Palestinian peace   ,2023-10-19
https: thehill.com policy international 4268043-pro-palestinian-protest-on-national-mall-continues-calls-for-cease-fire ,   Pro-Palestinian protest on National Mall continues calls for cease-fire  ,2023-10-20
https: thehill.com opinion international 4265614-biden-fanned-the-flames-of-hate-in-gaza-now-thousands-of-palestinians-are-dead ,   Biden fanned the flames of hate in Gaza — now thousands of Palestinians are dead   ,2023-10-20
https: thehill.com homenews media 4266706-cnn-reporter-pro-palestinian-protester ,   Reporter confronted by angry pro-Palestinian protester: ‘F‑‑‑ CNN’  ,2023-10-20
https: thehill.com opinion international 4266008-egypt-cannot-be-part-of-any-solution-involving-the-transfer-of-palestinians-into-sinai ,   Egypt cannot be part of any solution involving the transfer of Palestinians into Sinai  ,2023-10-20
https: thehill.com policy international 4272164-idf-offering-palestinians-rewards-information-gaza-hostages ,   IDF offering Palestinians rewards for information on hostages in Gaza  ,2023-10-24
https: thehill.com homenews state-watch 4275788-florida-orders-state-universities-disband-pro-palestinian-student-groups ,   Florida orders state universities to disband pro-Palestinian student group chapters on campuses  ,2023-10-25
https: thehill.com homenews administration 4275738-biden-no-confidence-in-palestinian-death-toll-from-gaza-health-ministry ,   Biden: ‘No confidence’ in Palestinian death toll from Gaza Health Ministry  ,2023-10-25
https: thehill.com homenews campaign 4275250-ramaswamy-criticizes-desantis-push-deactivate-pro-palestinian-groups ,   Ramaswamy criticizes DeSantis push to deactivate pro-Palestinian groups: ‘I don’t think that’s the American way’  ,2023-10-25
https: thehill.com homenews administration 4275138-biden-future-two-state-solution-israel-palestinians ,"   Biden calls for ‘concentrated effort’ toward future two-state solution for Israel, Palestinians  ",2023-10-25
https: thehill.com opinion 4273883-mellman-do-palestinians-support-hamas-polls-paint-a-murky-picture ,   Mellman: Do Palestinians support Hamas? Polls paint a murky picture  ,2023-10-25
https: thehill.com policy international 4274202-hezbollah-leader-meets-with-top-hamas-palestinian-islamic-jihad-figures ,"   Hezbollah leader meets with top Hamas, Palestinian Islamic Jihad figures  ",2023-10-25
https: thehill.com homenews 4273654-israel-palestinians-americans-pick-side ,   The Memo: Americans pick their side as conflict rages between Israel and the Palestinians  ,2023-10-25
https: thehill.com homenews campaign 4279635-desantis-accuses-pro-palestine-students-support-terrorism ,   DeSantis accuses pro-Palestine students of ‘material support to terrorism’  ,2023-10-27
https: thehill.com policy energy-environment 4283480-israel-gaza-oil-prices-world-bank ,   Outlook for oil prices ‘would darken quickly’ if Israel-Palestine conflict escalates: World Bank  ,2023-10-30
https: thehill.com homenews state-watch 4285773-virginias-attorney-general-probe-pro-palestine-nonprofit ,   Virginia’s attorney general opens probe into pro-Palestine nonprofit   ,2023-10-31
https: thehill.com policy international 4285027-un-palestinian-refugees-life-death-millions-israel-hamas ,   UN agency for Palestinian refugees says cease-fire a ‘matter of life and death for millions’  ,2023-10-31
https: thehill.com homenews senate 4284346-the-memo-democratic-splits-deepen-over-israel-as-palestinian-death-toll-rises ,   The Memo: Democratic splits deepen over Israel as Palestinian death toll rises  ,2023-10-31
https: thehill.com newsletters defense-national-security 4288649-wounded-palestinians-others-leave-gaza ,"   Wounded Palestinians, others allowed to leave Gaza  ",2023-11-01
https: thehill.com homenews house 4288268-brian-mast-innocent-palestinian-civilians ,   GOP lawmaker contends ‘there are very few innocent Palestinian citizens’  ,2023-11-01
https: thehill.com opinion international 4286557-to-be-pro-palestinian-you-must-be-anti-hamas ,"   To be pro-Palestinian, you must be anti-Hamas  ",2023-11-01
https: thehill.com opinion international 4285982-lessons-for-israel-and-palestine-from-cambodias-transition-to-democracy ,   Lessons for Israel and Palestine from Cambodia’s transition to democracy  ,2023-11-01
https: thehill.com homenews senate 4286928-graham-no-limit-palestinian-deaths-question-israel ,   Graham says ‘no limit’ of Palestinian deaths would make him question Israel  ,2023-11-01
https: thehill.com policy defense 4291183-israel-strikes-on-palestinian-refugee-camp-spark-anger ,   Israel strikes on Palestinian refugee camp spark anger  ,2023-11-02
https: thehill.com opinion international 4288925-colonialism-apartheid-interrogating-the-language-of-israel-palestine ,   ‘Colonialism’? ‘Apartheid’? Interrogating the language of Israel-Palestine  ,2023-11-02
https: thehill.com homenews house 4292692-gop-rep-zinke-proposes-bill-to-ban-palestinians-from-entering-us ,   GOP Rep. Zinke proposes bill to ban Palestinians from entering US  ,2023-11-03
https: thehill.com policy defense 4291863-blinken-says-we-need-to-do-more-to-protect-palestinian-civilians ,   Blinken says ‘we need to do more’ to protect Palestinian civilians  ,2023-11-03
https: thehill.com policy defense 4293880-thousands-of-pro-palestinian-protesters- 03-across-dc ,   Thousands of pro-Palestinian protesters 03 across DC  ,2023-11-04
https: thehill.com homenews 4294510-03garet-brennan-presses-palestinian-ambassador-over-not-condemning-hamas ,   03garet Brennan presses Palestinian ambassador over not condemning Hamas  ,2023-11-05
https: thehill.com homenews 4294150-blinken-meets-with-palestinian-leader-in-west-bank ,   Blinken meets with Palestinian leader in West Bank  ,2023-11-05
https: thehill.com homenews 4296741-first-private-university-bans-students-for-justice-in-palestine-as-middle-east-fallout-spreads ,   Private university bans Students for Justice in Palestine as Middle East fallout spreads  ,2023-11-06
https: thehill.com homenews house 4296553-democrat-pushes-vote-on-censuring-republican-for-comparing-palestinians-to-nazi-civilians ,   Democrat moves to force vote on censuring Florida Republican for comments about Palestinians  ,2023-11-06
https: thehill.com homenews senate 4296472-mcconnell-denounces-obama-tlaib-over-israel-palestine-comments ,"   McConnell denounces Obama, Tlaib over Israel-Palestine comments  ",2023-11-06
https: thehill.com homenews administration 4295536-trump-biden-israel-palestine-conflict-poll ,   Battleground voters trust Trump over Biden on Israeli-Palestinian conflict: poll  ,2023-11-06
https: thehill.com homenews house 4298212-tlaib-emotional-censure-debate ,   Tlaib gets emotional during censure debate: ‘Palestinian people are not disposable’  ,2023-11-07
https: thehill.com homenews senate 4300780-durbin-urges-biden-grant-temporary-legal-status-us-palestinians ,   Durbin urges Biden to grant temporary legal status to Palestinians in US  ,2023-11-08
https: thehill.com homenews house 4299804-hearing-delayed-college-free-speech-pro-palestinian-ceasefire ,   Hearing on free speech on college campuses delayed by pro-Palestinian protesters   ,2023-11-08
https: thehill.com policy international 4299743-more-palestinians-fleeing-south-with-food-water-running-out-in-north-gaza-un-agency ,"   More Palestinians fleeing south with food, water running out in north Gaza: UN agency  ",2023-11-08
https: thehill.com homenews education 4304627-columbia-suspends-student-group-palestine-jewish-israel-hamas ,   Columbia suspends Students for Justice in Palestine and Jewish Voice for Peace  ,2023-11-10
https: thehill.com homenews education 4305821-desantis-pro-palestinian-campus-groups-free-speech ,   DeSantis denies shutting down pro-Palestinian campus groups violates free speech  ,2023-11-11
https: thehill.com policy defense 4305628-netanyahu-israel-opposes-palestinian-authority-gaza ,   Netanyahu says Israel opposes Palestinian Authority in Gaza after war  ,2023-11-11
https: thehill.com homenews state-watch 4305617-pro-palestinian-protestors-bidens-delaware-home ,   Pro-Palestinian protestors gather near Biden’s Delaware home  ,2023-11-11
https: thehill.com homenews education 4310294-gw-suspends-pro-palestine-group ,   GW suspends pro-Palestine group over anti-Israel messaging  ,2023-11-14
https: thehill.com opinion education 4306667-all-colleges-should-be-banning-students-for-justice-in-palestine ,   All colleges should be banning Students for Justice in Palestine  ,2023-11-14
https: thehill.com opinion international 4311335-hamas-is-murdering-palestinian-babies-in-gaza-hospitals ,   Hamas is murdering Palestinian babies in Gaza hospitals  ,2023-11-15
https: thehill.com homenews state-watch 4314225-sjp-florida-aclu-sues-university-of-florida-system-desantis ,"   Pro-Palestine student group, ACLU sues University of Florida system, DeSantis  ",2023-11-16
https: thehill.com opinion international 4311675-when-will-biden-stand-up-for-the-people-of-palestine ,   When will Biden stand up for the people of Palestine?   ,2023-11-16
https: thehill.com opinion international 4311098-dont-look-to-the-palestinian-authority-for-good-governance ,   Don’t look to the Palestinian Authority for good governance  ,2023-11-16
https: thehill.com homenews administration 4311886-the-memo-bidens-political-problems-on-israel-rise ,   The Memo: Biden’s political problems on Israel rise along with Palestinian death toll  ,2023-11-16
https: thehill.com homenews education 4311746-students-justice-palestine-antisemitism-free-speech-hamas-israel ,"   Students for Justice in Palestine becomes flashpoint in college antisemitism, free speech debate  ",2023-11-16
https: thehill.com homenews state-watch 4315704-democratic-lawmaker-brooklyn-office-vandalized-amid-pro-palestine-protests ,   Democratic lawmaker’s Brooklyn office vandalized amid pro-Palestine protests  ,2023-11-17
https: thehill.com homenews state-watch 4315364-arizona-state-cancels-pro-palestinian-event-featuring-tlaib ,   Arizona State cancels pro-Palestinian event featuring Tlaib  ,2023-11-17
https: thehill.com policy international 4315151-pro-palestinian-protesters-enter-fox-news-building ,   Pro-Palestinian protesters enter Fox News building  ,2023-11-17
https: thehill.com policy international 4314838-plurality-of-democrats-sympathize-with-palestinians-over-israelis-poll ,   Plurality of Democrats sympathize with Palestinians over Israelis: Poll  ,2023-11-17
https: thehill.com homenews 4317386-us-moving-toward-imposing-travel-ban-on-west-bank-settlers-associated-with-violence-against-palestinians ,   US moving toward imposing travel ban on West Bank settlers associated with violence against Palestinians  ,2023-11-19
https: thehill.com opinion international 4318070-israelis-and-palestinians-are-both-held-hostage-by-their-own-leaders ,   Israelis and Palestinians are both held hostage by their own leaders  ,2023-11-20
https: thehill.com homenews 4322188-lobbying-firm-former-obama-adviser-anti-palestinian-comments ,   Lobbying firm cuts ties with former Obama adviser over anti-Palestinian comments  ,2023-11-21
https: thehill.com homenews state-watch 4324896-pro-palestinian-protesters-briefly-interrupt-macys-thanksgiving-day-parade ,   Pro-Palestinian protesters briefly interrupt Macy’s Thanksgiving Day Parade  ,2023-11-23
https: thehill.com blogs blog-briefing-room 4324787-former-obama-adviser-arrested-after-anti-palestinian-comments-to-food-cart-worker ,   Former Obama adviser arrested after anti-Palestinian comments to food cart worker  ,2023-11-23
https: thehill.com homenews state-watch 4326479-pro-palestine-demonstrators-rally-in-los-angeles-during-black-friday-shopping ,   Pro-Palestine demonstrators rally in Los Angeles during Black Friday shopping  ,2023-11-24
https: thehill.com policy defense 4326120-israel-releases-39-palestinian-prisoners-under-hostage-deal ,   Israel releases 39 Palestinian prisoners under hostage deal  ,2023-11-24
https: thehill.com policy defense 4326610-second-hostage-swap-israel-hamas-war ,   Hamas to release 14 hostages for 42 Palestinian prisoners in second swap: Egyptian officials  ,2023-11-25
https: thehill.com homenews state-watch 4327951-three-palestinian-men-shot-in-vermont ,   3 Palestinian men shot in Vermont  ,2023-11-26
https: thehill.com homenews 4329803-palestinian-students-recovering-after-being-shot-in-vermont ,   Palestinian students recovering after being shot in Vermont  ,2023-11-27
https: thehill.com opinion international 4329768-how-to-resolve-the-issue-of-palestinian-refugees ,   How to resolve the issue of Palestinian refugees  ,2023-11-27
https: thehill.com homenews 4329557-biden-condemns-shooting-palestinian-students-vermont ,   Biden condemns shooting of Palestinian students: ‘No place for violence or hate in America’  ,2023-11-27
https: thehill.com homenews state-watch 4328958-vermont-shooting-palestinian-american-students-man-charged ,   Man pleads not guilty in shooting of 3 Palestinian American students in Vermont  ,2023-11-27
https: thehill.com homenews 4328728-kilmeade-rips-pro-palestinian-protesters-who-blocked-new-york-city-bridge-idiots ,   Kilmeade rips pro-Palestinian protesters who blocked New York City bridge: ‘Idiots’  ,2023-11-27
https: thehill.com homenews state-watch 4328611-suspect-arrested-shooting-3-men-of-palestinian-descent-vermont ,   Suspect arrested in shooting of 3 men of Palestinian descent in Vermont  ,2023-11-27
https: thehill.com homenews house 4332204-tlaib-calls-for-release-of-all-palestinians-arbitrarily-detained-in-israel ,   Tlaib calls for release of all Palestinians ‘arbitrarily detained’ in Israel  ,2023-11-28
https: thehill.com policy defense 4331393-israel-hamas-hostage-release-palestine ,"   Israel, Hamas exchange 5th round of hostages and Palestinian prisoners  ",2023-11-28
https: thehill.com homenews state-watch 4331078-mother-palestinian-student-vermont-shooting-never-walk-again ,   Mother of Palestinian student shot in Vermont says he 04 never walk again  ,2023-11-28
https: thehill.com opinion international 4329186-palestinians-dont-need-deradicalization-they-need-better-lives ,   Palestinians don’t need deradicalization. They need better lives.  ,2023-11-28
https: thehill.com homenews senate 4333594-schumer-antisemitism-speech-liberals-demonstrators ,"   Schumer confronts fellow liberals, pro-Palestinian demonstrators over antisemitism    ",2023-11-29
https: thehill.com homenews 4336577-mother-of-shot-palestinian-student-targeted-hate-crime ,   Mother of shot Palestinian student: ‘No doubt’ it was a targeted hate crime  ,2023-11-30
https: thehill.com homenews state-watch 4335075-palestinian-vermont-shooting-israel-hamas ,   Palestinian Vermont shooting victim: ‘I’m not safe in America’  ,2023-11-30
https: thehill.com homenews education 4331566-fears-campus-attack-palestinian-islamophobia-hamas-israel ,   Fears rise on campuses after attack on Palestinian college students  ,2023-11-30
https: thehill.com homenews state-watch 4338681-arizona-journalist-arrested-covering-pro-palestine-protest ,   Arizona journalist arrested while covering pro-Palestine protest  ,2023-12-01
https: thehill.com newsletters technology 4338337-palestinian-groups-call-on-meta-to-address-content-moderation-concerns ,   Palestinian groups call on Meta to address content moderation concerns  ,2023-12-01
https: thehill.com policy technology 4333648-palestinian-groups-accuse-meta-of-unfairly-moderating-speech-amid-israel-hamas-conflict ,   Palestinian groups accuse Meta of unfairly moderating speech amid Israel-Hamas conflict  ,2023-12-01
https: thehill.com blogs blog-briefing-room 4341537-palestinian-student-shot-in-vermont-paralyzed-but-hopes-to-start-next-semester-on-time ,"   Palestinian student shot in Vermont paralyzed, but hopes to start next semester on time  ",2023-12-04
https: thehill.com homenews administration 4346164-harris-aide-meets-with-palestinian-officials-in-west-bank ,   Harris aide meets with Palestinian officials in West Bank  ,2023-12-06
https: thehill.com homenews education 4345828-oakland-teachers-participate-in-pro-palestine-teach-in ,   Oakland teachers participate in pro-Palestine teach-in  ,2023-12-06
https: thehill.com policy international 4352373-palestinians-in-gaza-at-risk-of-starvation-aid-groups-warn ,"   Palestinians in Gaza at risk of starvation, aid groups warn  ",2023-12-10
https: thehill.com policy international 4354757-israel-allows-palestinian-americans-to-enter-from-west-bank-for-first-time-since-10-7 ,   Israel allows Palestinian Americans to enter from West Bank for first time since 10. 7  ,2023-12-11
https: thehill.com opinion international 4353828-why-is-gen-z-so-pro-palestine-and-anti-israel ,   Why is Gen Z so pro-Palestine and anti-Israel?  ,2023-12-11
https: thehill.com homenews education 4356194-students-arrested-palestine-israel-brown-university ,   Dozens of students arrested after pro-Palestine protest at Brown University  ,2023-12-12
https: thehill.com policy defense 4356031-netanyahu-vows-to-block-palestinian-authority-from-gaza-rule ,   Netanyahu vows to block Palestinian Authority from Gaza rule  ,2023-12-12
https: thehill.com homenews administration 4361300-sullivan-palestinian-authority-post-hamas-gaza ,"   Sullivan, Palestinian Authority to discuss post-Hamas Gaza  ",2023-12-14
https: thehill.com policy energy-environment 4360754-epa-east-palestine-crash-chemical-vinyl-chloride-safety-review-first-step ,   EPA takes first step to review safety of chemical in East Palestine crash  ,2023-12-14
https: thehill.com homenews 4362951-meta-faces-questions-on-palestinian-content ,   Meta faces questions on Palestinian content  ,2023-12-15
https: thehill.com blogs blog-briefing-room 4364224-middle-school-teacher-on-leave-pro-palestine-email-signature ,   Middle school teacher placed on leave over controversial pro-Palestine email signature  ,2023-12-16
https: thehill.com opinion international 4362806-germanys-unprecedented-crackdown-on-pro-palestinian-speech ,   Germany’s unprecedented crackdown on pro-Palestinian speech  ,2023-12-17
https: thehill.com opinion international 4362325-in-a-mideast-reboot-palestinians-must-choose-singapore-or-somalia ,"   In a Middle East reboot, Palestinians must choose: Singapore or Somalia?  ",2023-12-17
https: thehill.com policy international 4365628-human-rights-watch-accuses-israel-starve-palestinians ,   Human rights group accuses Israel of trying to starve Palestinians in Gaza  ,2023-12-18
https: thehill.com homenews administration 4368427-vp-harris-israel-defends-itself-palestinians-killed ,   VP Harris says how Israel defends itself matters: ‘Far too many innocent Palestinians have been killed’  ,2023-12-19
https: thehill.com blogs in-the-know 4367934-alec-baldwin-heated-exchange-protester-pro-palestinian-nyc-rally ,   Alec Baldwin gets into heated exchange with protester at pro-Palestinian rally in NYC  ,2023-12-19
https: thehill.com newsletters technology 4374429-watchdog-accuses-meta-of-silencing-pro-palestine-posts ,   Watchdog accuses Meta of ‘silencing’ pro-Palestine posts  ,2023-12-22
https: thehill.com policy technology 4374224-human-rights-watch-finds-systemic-censorship-of-palestinian-content-on-meta-platforms ,   Human Rights Watch finds ‘systemic censorship’ of Palestinian content on Meta platforms  ,2023-12-22
https: thehill.com policy international 4375545-no-christmas-as-usual-pro-palestinian-protestors-storm-city-streets-on-super-saturday ,   ‘No Christmas as usual’: Pro-Palestinian protestors storm city streets on ‘Super Saturday’  ,2023-12-23
https: thehill.com policy international 4375786-graham-i-would-not-invest-15-cents-in-a-future-palestine-if-hamas-is-still-standing ,   Graham: ‘I would not invest 15 cents in a future Palestine if Hamas is still standing’  ,2023-12-24
https: thehill.com homenews administration 4377437-pro-palestinian-activists-protest-front-biden-amin-officials-homes ,   Pro-Palestinian activists protest in front of homes of Biden admin officials  ,2023-12-26
https: thehill.com homenews state-watch 4379349-pro-palestinian-protesters-snarl-traffic-at-jfk-lax ,"   Pro-Palestinian protesters snarl traffic at JFK, LAX  ",2023-12-27
https: thehill.com opinion international 4378366-at-the-heart-of-the-israel-palestinian-conflict-anthropology-matters-as-much-as-history ,"   At the heart of the Israel-Palestinian conflict, anthropology matters as much as history  ",2023-12-27
https: thehill.com opinion international 4378285-the-first-amendment-applies-to-pro-palestinian-viewpoints-too ,"   The First Amendment applies to pro-Palestinian viewpoints, too  ",2023-12-30
https: thehill.com policy defense 4384192-israel-withdraws-some-forces-shifts-gears-in-gaza ,"   Israel withdraws some forces, shifts gears in Gaza  ",2024-01-01
https: thehill.com homenews 4384949-groups-plan-massive- 03-for-gaza-ceasefire-in-dc-next-week ,   Groups plan massive 03 for Gaza cease-fire in DC next week   ,2024-01-02
https: thehill.com opinion international 4381642-netanyahu-must-end-his-futile-campaign-in-gaza-and-biden-must-make-him-do-it ,"   Netanyahu must end his futile campaign in Gaza, and Biden must make him do it   ",2024-01-02
https: thehill.com opinion international 4380219-hamas-massacre-footage-shows-the-gaza-war-is-about-religious-fanaticism ,   Hamas massacre footage shows the Gaza War is about religious fanaticism  ,2024-01-02
https: thehill.com policy international 4385735-israel-shift-gaza-us-pressure-war-hamas ,   Israel signals shift in Gaza amid US pressure — but war presses on  ,2024-01-03
https: thehill.com homenews administration 4389302-senior-education-official-cites-biden-handling-of-gaza-conflict-in-resignation ,   Senior Education official cites Biden handling of Gaza conflict in resignation  ,2024-01-04
https: thehill.com policy international 4389155-us-service-members-family-members-extracted-from-gaza ,   US service member’s family members extracted from Gaza  ,2024-01-04
https: thehill.com opinion international 4387109-gazas-hope-narrative-is-becoming-more-elusive-by-the-day ,   Gaza’s ‘hope narrative’ is becoming more elusive by the day  ,2024-01-04
https: thehill.com opinion international 4391112-dangerous-ideas-about-the-day-after-in-gaza ,   Dangerous ideas about ‘the day after’ in Gaza  ,2024-01-05
https: thehill.com opinion international 4391074-how-do-we-create-peace-in-gaza-give-it-protectorate-status-under-the-abraham-accords ,   How do we create peace in Gaza? Give it protectorate status under the Abraham Accords.   ,2024-01-05
https: thehill.com policy defense 4390798-israeli-defense-minister-details-vision-for-next-phase-of-gaza-war ,   Israeli defense minister details vision for next phase of Gaza war  ,2024-01-05
https: thehill.com policy international 4394602-blinken-palestinians-must-be-allowed-to-stay-in-gaza ,   Blinken: Palestinians must be allowed to stay in Gaza  ,2024-01-07
https: thehill.com policy international 4394248-van-hollen-agrees-israel-should-face-consequences-over-gaza-aid-civilian-deaths ,"   Van Hollen agrees Israel should face ‘consequences’ over Gaza aid, civilian deaths  ",2024-01-07
https: thehill.com policy international 4394118-israeli-president-says-forced-displacement-of-palestinians-in-gaza-absolutely-not-position-of-government ,   Israeli president says forced displacement of Palestinians in Gaza ‘absolutely not’ position of government  ,2024-01-07
https: thehill.com homenews 4394989-two-journalists-killed-in-gaza-including-al-jazeera-bureau-chiefs-son ,"   Two journalists killed in Gaza, including Al Jazeera bureau chief’s son  ",2024-01-08
https: thehill.com opinion international 4395645-peace-wont-come-easily-but-the-process-must-begin-in-gaza ,"   Peace won’t come easily, but the process must begin in Gaza  ",2024-01-09
https: thehill.com policy international 4401077-blinken-israel-no-choice-but-cooperation-un-gaza ,   Blinken says Israel has ‘no choice’ but to cooperate with UN in Gaza  ,2024-01-10
https: thehill.com opinion 4399520-the-pitfalls-of-polling-about-a-gaza-ceasefire ,   The pitfalls of polling about a Gaza ceasefire  ,2024-01-10
https: thehill.com opinion national-security 4397982-i-led-strike-cells-against-isis-israels-strike-campaign-in-gaza-is-unacceptable ,   I led strike cells against ISIS — Israel’s strike campaign in Gaza is unacceptable  ,2024-01-10
https: thehill.com policy international 4405727-state-department-arab-nations-will-partner-with-us-on-gaza-if-israel-gets-on-board ,   State Department: Arab nations will partner with US on Gaza if Israel gets on board  ,2024-01-12
https: thehill.com opinion international 4403640-after-gaza-the-rabidly-antisemitic-palestinian-education-system-must-be-fixed ,"   After Gaza, the rabidly antisemitic Palestinian education system must be fixed  ",2024-01-12
https: thehill.com policy international 4404753-israel-defends-gaza-war-un-court ,   Israel defends Gaza war at UN court  ,2024-01-12
https: thehill.com policy international 4406997-israel-deal-qatar-medicine-hostages-hamas-gaza ,   Israel reaches deal with Qatar to provide medicine to Hamas hostages in war-torn Gaza  ,2024-01-13
https: thehill.com policy defense 4408397-biden-03ks-100-days-of-captivity-for-hostages-in-gaza ,   Biden 03ks 100 days of captivity for hostages in Gaza  ,2024-01-14
https: thehill.com opinion international 4404509-gaza-war-revives-ugly-american-stereotype-in-the-arab-world ,   Gaza War revives ‘ugly American’ stereotype in the Arab world  ,2024-01-14
https: thehill.com homenews senate 4408093-sanders-says-gaza-is-worse-than-what-happened-in-dresden-during-wwii ,   Sanders says Gaza ‘is worse than’ what happened in Dresden during WWII  ,2024-01-14
https: thehill.com opinion 4408958-hope-is-not-a-strategy-the-futility-of-a-possible-palestinian-authority-return-to-gaza ,   Hope is not a strategy: The futility of a possible Palestinian Authority return to Gaza  ,2024-01-15
https: thehill.com homenews administration 4409193-white-house-right-time-israel-scale-back-gaza-war ,   White House says it’s ‘right time’ for Israel to scale back Gaza war  ,2024-01-15
https: thehill.com homenews senate 4412586-democratic-rebels-send-biden-stern-message-on-gaza ,   Democratic rebels send Biden stern message on Gaza   ,2024-01-16
https: thehill.com opinion international 4405202-grassroots-radicalism-is-clouding-gazas-future ,   Grassroots radicalism is clouding Gaza’s future  ,2024-01-16
https: thehill.com blogs in-the-know 4411136-dua-lipa-gaza-cease-fire-israel ,   Dua Lipa presses for Gaza cease-fire: ‘There are just not enough world leaders that are taking a stand’  ,2024-01-16
https: thehill.com opinion international 4411748-russias-history-with-chechnya-has-lessons-for-gaza ,   Russia’s history with Chechnya has lessons for Gaza  ,2024-01-17
https: thehill.com policy international 4413081-un-chief-israel-hamas-ignoring-international-law-in-gaza ,"   UN chief says Israel, Hamas ‘ignoring international law’ in Gaza  ",2024-01-17
https: thehill.com opinion international 4414904-more-than-100-days-later-where-does-the-war-in-gaza-stand ,"   More than 100 days later, where does the war in Gaza stand?   ",2024-01-18
https: thehill.com policy international 4417536-gaza-un-warns-viruses-spreading-poor-conditions ,   UN warns of viruses spreading in Gaza  ,2024-01-19
https: thehill.com policy international 4420701-un-chief-blasts-israel-for-utterly-unacceptable-civilian-deaths-in-gaza ,   UN chief blasts Israel for ‘utterly unacceptable’ civilian deaths in Gaza  ,2024-01-21
https: thehill.com policy international 4420232-gaza-death-toll-surpasses-25000-gaza-health-ministry ,"   Gaza death toll surpasses 25,000: Gaza Health Ministry  ",2024-01-21
https: thehill.com homenews 4421541-us-sanctions-funding-streams-iran-allies-gaza-iraq ,"   US sanctions target funding streams between Iran and its allies in Gaza, Iraq  ",2024-01-22
https: thehill.com homenews house 4426627-israel-gaza-two-state-solution-house-democrats ,   44 House Democrats express support for 2-state solution after Gaza war  ,2024-01-24
https: thehill.com policy defense 4429906-half-biden-voters-israel-committing-genocide-in-gaza-poll ,   Half of Biden voters say Israel committing genocide in Gaza: Poll  ,2024-01-25
https: thehill.com blogs blog-briefing-room 4429884-cities-gaza-ceasefire-hamas-israel ,   These US cities have called for a cease-fire in Gaza  ,2024-01-25
https: thehill.com policy international 4428775-gaza-strike-compound-un-us-gravely-concerned ,   US ‘gravely concerned’ about deadly strike on UN compound in Gaza  ,2024-01-25
https: thehill.com policy international 4431068-top-un-court-rejects-israels-request-to-throw-out-genocide-case ,"   Top UN court rules Israel must contain civilian deaths in Gaza, stops short of cease-fire demand  ",2024-01-26
https: thehill.com opinion cybersecurity 4433419-a-notorious-israeli-spyware-firm-wants-to-use-the-gaza-war-to-make-a-comeback ,   A notorious Israeli spyware firm wants to use the Gaza war to make a comeback  ,2024-01-27
https: thehill.com homenews house 4434222-ocasio-cortez-says-genocide-accusations-demonstrate-mass-inhumanity-that-gazans-are-facing ,   Ocasio-Cortez says genocide accusations demonstrate ‘mass inhumanity that Gazans are facing’  ,2024-01-28
https: thehill.com policy international 4438719-canada-send-almost-30-million-aid-gaza ,   Canada to send almost $30 million in aid for Gaza after pausing UNRWA funds  ,2024-01-30
https: thehill.com opinion international 4431665-netanyahu-and-sinwars-forever-war-in-gaza ,   Netanyahu and Sinwar’s forever war in Gaza  ,2024-01-30
https: thehill.com opinion international 4439596-right-wing-radicals-who-want-to-resettle-gaza-are-a-threat-to-israel ,   Right-wing radicals who want to resettle Gaza are a threat to Israel  ,2024-01-31
https: thehill.com policy international 4442427-south-africa-alleges-israel-violating-ruling ,   South Africa alleges Israel violating ruling to prevent Gaza deaths  ,2024-02-01
